playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,rebound50s W Mean,rebound50s Scalar,bounces W Mean,bounces Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
James O'Donnell,5.0,15.0,-40.94,1.0,2.0,-83.69,4.0,12.0,3.12,0.0,0.0,-100.0,0.0,0.0,-100.0,1.0,-3.0,27.23,1.0,6.0,34.41,1.0,1.0,99.6,6.0,-58.9,3.0,-66.41,3.0,-46.38,1.0,125.23,3.0,-12.69,0.0,-100.0,1.0,-58.78,2.0,165.96,0.0,-100.0,0.0,-100.0,109.0,-53.2,40.0,-35.67,1.0,141.55,0.0,-100.0,33.0,-0.0,-49.05,33.0
James Peatling,8.08,24.24,-4.56,6.43,12.86,4.88,1.97,5.91,-49.21,5.5,22.0,103.18,1.79,1.79,112.84,0.9,-2.7,14.5,0.05,0.3,-93.28,0.62,0.62,23.75,14.51,-0.6,7.57,-15.25,7.05,26.01,0.05,-88.74,1.92,-44.12,3.01,108.45,2.6,7.17,0.08,-89.36,0.51,-49.05,0.06,-68.09,185.93,-20.17,61.95,-0.37,0.12,-71.01,1.41,71.32,64.98,-7.61,0.32,65.02
James Rowbottom,11.0,33.0,29.93,6.5,13.0,6.02,3.0,9.0,-22.66,8.0,32.0,195.53,2.0,2.0,137.81,2.5,-7.5,218.07,0.5,3.0,-32.8,0.0,0.0,-100.0,17.5,19.89,7.0,-21.63,11.0,96.6,0.5,12.61,2.5,-27.24,5.5,280.89,3.5,44.27,0.0,-100.0,4.0,299.6,0.0,-100.0,319.5,37.17,57.5,-7.52,0.0,-100.0,1.0,21.51,84.5,-0.0,30.46,84.5
James Rowe,9.11,27.33,7.61,7.22,14.44,17.76,4.44,13.32,14.46,2.0,8.0,-26.12,1.11,1.11,31.99,0.78,-2.34,-0.76,0.67,4.02,-9.95,1.0,1.0,99.6,16.33,11.87,11.0,23.15,5.44,-2.77,0.11,-75.23,4.33,26.02,1.11,-23.13,2.78,14.59,0.56,-25.53,0.56,-44.06,0.22,17.02,244.89,5.14,52.52,-15.53,0.22,-46.86,0.78,-5.22,66.89,-0.0,3.27,66.88
James Stewart,7.0,21.0,-17.32,3.0,6.0,-51.07,4.0,12.0,3.12,1.0,4.0,-63.06,2.0,2.0,137.81,0.0,-0.0,-100.0,1.0,6.0,34.41,0.0,0.0,-100.0,10.0,-31.49,6.0,-32.83,4.0,-28.51,0.0,-100.0,4.0,16.41,3.0,107.76,1.0,-58.78,1.0,32.98,1.0,-0.1,0.0,-100.0,138.0,-40.75,85.7,37.83,2.0,383.09,0.0,-100.0,53.0,-0.0,-18.18,51.0
James Worpel,10.1,30.3,19.3,11.67,23.34,90.34,1.74,5.22,-55.14,4.22,16.88,55.89,0.51,0.51,-39.36,0.85,-2.55,8.14,0.35,2.1,-52.96,0.62,0.62,23.75,21.78,49.21,12.93,44.76,8.74,56.21,0.02,-95.5,1.71,-50.23,4.13,186.01,3.34,37.68,0.05,-93.35,0.77,-23.08,0.01,-94.68,255.3,9.61,45.37,-27.03,0.0,-100.0,1.01,22.72,76.42,17.47,17.98,76.42
Jamie Cripps,8.77,26.31,3.59,5.97,11.94,-2.63,4.36,13.08,12.4,3.6,14.4,32.99,0.38,0.38,-54.82,0.51,-1.53,-35.11,1.21,7.26,62.63,1.26,1.26,151.5,14.75,1.05,10.16,13.75,5.22,-6.7,0.18,-59.46,4.18,21.65,1.36,-5.82,2.96,22.01,1.19,58.24,0.15,-85.01,0.23,22.34,261.67,12.34,53.11,-14.58,0.91,119.81,0.63,-23.45,73.14,-0.72,12.92,73.1
Jamie Elliott,8.51,25.53,0.52,4.06,8.12,-33.78,4.32,12.96,11.37,2.39,9.56,-11.71,0.71,0.71,-15.58,0.42,-1.26,-46.56,1.13,6.78,51.88,1.25,1.25,149.5,12.57,-13.89,7.91,-11.44,3.64,-34.94,0.55,23.87,3.77,9.72,0.3,-79.22,1.57,-35.28,2.19,191.22,0.13,-87.01,0.02,-89.36,172.84,-25.79,53.84,-13.41,1.35,226.09,0.46,-44.11,63.61,-5.13,-1.8,63.65
Jarman Impey,12.5,37.5,47.65,5.0,10.0,-18.45,4.5,13.5,16.01,3.5,14.0,29.29,1.0,1.0,18.91,0.5,-1.5,-36.39,0.0,0.0,-100.0,0.0,0.0,-100.0,17.5,19.89,15.0,67.94,3.0,-46.38,0.0,-100.0,4.5,30.97,0.0,-100.0,2.0,-17.56,0.0,-100.0,2.5,149.75,1.0,431.91,225.0,-3.4,85.8,37.99,0.0,-100.0,1.0,21.51,74.5,-0.0,15.02,74.5
Jarrod Berry,8.71,26.13,2.88,9.64,19.28,57.23,6.71,20.13,72.98,5.86,23.44,116.48,1.0,1.0,18.91,0.07,-0.21,-91.09,0.0,0.0,-100.0,0.0,0.0,-100.0,18.36,25.78,12.0,34.35,7.21,28.87,0.0,-100.0,6.71,95.29,3.71,156.93,2.5,3.05,0.0,-100.0,1.29,28.87,0.0,-100.0,334.14,43.46,85.23,37.08,0.0,-100.0,1.14,38.52,89.79,0.61,38.62,89.77
Jarryd Lyons,10.5,31.5,24.03,8.57,17.14,39.78,2.5,7.5,-35.55,4.07,16.28,50.35,0.14,0.14,-83.35,0.07,-0.21,-91.09,0.86,5.16,15.59,0.0,0.0,-100.0,19.07,30.64,8.29,-7.19,10.79,92.85,0.86,93.69,1.64,-52.27,4.0,177.01,3.71,52.93,0.0,-100.0,0.14,-86.01,0.0,-100.0,327.5,40.61,60.44,-2.79,0.0,-100.0,1.86,126.0,77.5,-4.62,19.65,77.51
Jason Castagna,7.75,23.25,-8.46,5.88,11.76,-4.09,4.62,13.86,19.1,1.88,7.52,-30.55,0.25,0.25,-70.27,0.62,-1.86,-21.12,1.25,7.5,68.01,0.62,0.62,23.75,13.62,-6.69,8.75,-2.04,4.75,-15.1,0.62,39.64,4.0,16.41,0.0,-100.0,2.12,-12.61,0.88,17.02,0.38,-62.04,0.12,-36.17,245.25,5.3,51.22,-17.62,1.25,201.93,0.5,-39.25,62.88,-0.0,-2.92,62.9
Jason Horne-Francis,14.04,42.12,65.84,7.15,14.3,16.62,3.56,10.68,-8.22,4.68,18.72,72.89,2.01,2.01,139.0,2.82,-8.46,258.78,0.57,3.42,-23.39,1.41,1.41,181.44,21.19,45.17,9.98,11.73,10.25,83.2,0.28,-36.94,3.28,-4.54,4.82,233.8,4.51,85.9,0.28,-62.77,1.0,-0.1,0.58,208.51,362.28,55.54,51.1,-17.82,0.01,-97.58,1.97,139.37,84.17,30.09,29.95,84.2
Jason Johannisen,13.89,41.67,64.07,4.07,8.14,-33.62,5.75,17.25,48.23,1.07,4.28,-60.47,0.04,0.04,-95.24,0.04,-0.12,-94.91,0.11,0.66,-85.22,0.96,0.96,91.62,17.96,23.04,13.21,47.9,1.32,-76.41,0.0,-100.0,5.75,67.35,0.07,-95.15,3.0,23.66,0.14,-81.38,1.82,81.82,0.0,-100.0,373.0,60.14,67.86,9.14,0.11,-73.43,0.89,8.14,72.89,11.92,12.53,72.88
Jaspa Fletcher,13.0,39.0,53.56,6.0,12.0,-2.14,8.0,24.0,106.24,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,1.0,1.0,99.6,19.0,30.16,13.0,45.54,6.0,7.24,0.0,-100.0,8.0,132.83,2.0,38.5,2.0,-17.56,0.0,-100.0,2.0,99.8,1.0,431.91,366.0,57.14,61.5,-1.09,0.0,-100.0,1.0,21.51,76.0,-0.0,17.33,76.0
Jaxon Prior,5.93,17.79,-29.96,1.29,2.58,-78.96,3.0,9.0,-22.66,2.93,11.72,8.24,0.29,0.29,-65.52,0.14,-0.42,-82.19,0.21,1.26,-71.77,1.0,1.0,99.6,7.21,-50.61,5.29,-40.77,1.07,-80.88,0.07,-84.23,2.93,-14.73,0.29,-79.92,0.5,-79.39,0.07,-90.69,1.0,-0.1,0.0,-100.0,161.5,-30.66,41.49,-33.27,0.0,-100.0,0.21,-74.48,43.21,-19.61,-33.29,43.22
Jayden Laverde,8.0,24.0,-5.5,7.0,14.0,14.17,6.0,18.0,54.68,0.0,0.0,-100.0,1.0,1.0,18.91,1.0,-3.0,27.23,0.0,0.0,-100.0,0.0,0.0,-100.0,15.0,2.76,10.0,11.96,5.0,-10.63,0.0,-100.0,6.0,74.62,0.0,-100.0,0.0,-100.0,0.0,-100.0,5.0,399.5,0.0,-100.0,218.0,-6.4,75.0,20.62,0.0,-100.0,1.0,21.51,54.0,-0.0,-16.63,54.0
Jed Anderson,10.75,32.25,26.98,11.75,23.5,91.65,4.75,14.25,22.45,4.25,17.0,57.0,0.75,0.75,-10.82,0.5,-1.5,-36.39,0.0,0.0,-100.0,0.0,0.0,-100.0,22.5,54.14,13.75,53.94,8.5,51.92,0.0,-100.0,4.75,38.24,3.5,142.38,3.75,54.58,0.0,-100.0,1.0,-0.1,0.0,-100.0,263.25,13.02,39.15,-37.03,0.25,-39.61,1.5,82.26,86.25,-0.0,33.16,86.25
Jed Bews,5.0,15.0,-40.94,6.86,13.72,11.89,2.57,7.71,-33.75,2.72,10.88,0.48,0.29,0.29,-65.52,0.28,-0.84,-64.38,0.0,0.0,-100.0,0.0,0.0,-100.0,11.85,-18.82,6.57,-26.44,5.29,-5.45,0.0,-100.0,2.57,-25.2,0.28,-80.61,1.29,-46.83,0.0,-100.0,1.28,27.87,0.0,-100.0,177.57,-23.76,39.68,-36.18,0.0,-100.0,0.57,-30.74,46.72,-14.01,-27.87,46.76
Jed McEntee,4.42,13.26,-47.79,4.41,8.82,-28.07,1.79,5.37,-53.85,3.1,12.4,14.52,0.19,0.19,-77.41,0.72,-2.16,-8.4,0.72,4.32,-3.23,0.28,0.28,-44.11,8.82,-39.58,5.59,-37.42,3.28,-41.38,0.01,-97.75,1.78,-48.2,0.05,-96.54,1.37,-43.53,0.82,9.04,0.13,-87.01,0.0,-100.0,104.19,-55.27,55.27,-11.11,0.01,-97.58,0.19,-76.91,42.47,5.18,-34.43,42.48
Jed Walter,5.5,16.5,-35.03,2.5,5.0,-59.22,1.5,4.5,-61.33,3.0,12.0,10.82,1.0,1.0,18.91,1.0,-3.0,27.23,1.5,9.0,101.61,2.5,2.5,399.0,8.0,-45.19,1.5,-83.21,6.0,7.24,0.5,12.61,1.0,-70.9,0.5,-65.37,0.5,-79.39,1.5,99.47,0.0,-100.0,0.0,-100.0,116.5,-49.98,35.4,-43.07,0.0,-100.0,0.0,-100.0,47.5,-0.0,-26.67,47.5
Jeremy Cameron,11.53,34.59,36.19,4.63,9.26,-24.48,5.88,17.64,51.59,1.78,7.12,-34.24,0.7,0.7,-16.77,1.13,-3.39,43.77,2.2,13.2,195.7,1.69,1.69,237.33,16.17,10.78,11.8,32.11,4.28,-23.5,0.48,8.11,5.39,56.87,0.53,-63.3,3.26,34.38,2.61,247.07,0.54,-46.05,0.08,-57.45,358.08,53.74,58.08,-6.59,1.48,257.49,0.75,-8.87,80.81,10.55,24.76,80.81
Jeremy Finlayson,10.98,32.94,29.7,3.86,7.72,-37.04,4.83,14.49,24.52,1.41,5.64,-47.91,0.67,0.67,-20.33,1.45,-4.35,84.48,1.58,9.48,112.37,1.44,1.44,187.43,14.84,1.66,8.94,0.09,5.69,1.7,0.86,93.69,3.97,15.54,1.56,8.03,3.0,23.66,1.81,140.69,0.5,-50.05,0.42,123.4,293.93,26.2,55.68,-10.45,0.72,73.91,0.89,8.14,70.92,-3.32,9.49,68.03
Jeremy Howe,9.07,27.21,7.13,1.57,3.14,-74.39,2.36,7.08,-39.16,0.29,1.16,-89.29,0.93,0.93,10.58,0.0,-0.0,-100.0,0.14,0.84,-81.18,0.0,0.0,-100.0,10.64,-27.11,3.64,-59.25,2.29,-59.07,0.93,109.46,1.43,-58.38,0.0,-100.0,0.14,-94.23,1.0,32.98,3.07,206.69,0.0,-100.0,248.14,6.54,68.61,10.35,0.0,-100.0,0.07,-91.49,40.36,-21.25,-37.69,40.36
