playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Harrison Petty,6.05,18.15,-40.88,4.39,8.78,-18.93,4.2,12.6,-15.98,2.19,8.76,8.47,0.65,0.65,-1.07,1.24,-3.72,89.02,0.64,3.84,367.15,0.0,0.0,-100.0,10.44,-33.29,6.23,-36.03,4.2,-14.0,0.62,9.35,3.58,-19.21,0.25,-61.48,1.18,-20.38,82.19,3.27,1.39,-55.41,174.64,-33.98,69.0,-9.2,0.56,-60.51,1.24,25.25,0.01,-99.12,0.0,-100.0,49.74,6.77,-22.81,49.06
Harry Cunningham,9.03,27.09,-11.76,4.63,9.26,-14.5,4.74,14.22,-5.18,1.76,7.04,-12.83,0.0,0.0,-100.0,0.73,-2.19,11.28,0.0,0.0,-100.0,0.0,0.0,-100.0,13.66,-12.71,9.51,-2.35,3.56,-27.11,0.51,-10.05,4.23,-4.54,0.63,-2.93,0.51,-65.59,79.33,-0.32,2.6,-16.59,176.27,-33.36,70.85,-6.77,1.51,6.49,1.03,4.04,0.0,-100.0,0.0,-100.0,55.41,9.83,-14.01,55.42
Harry Edwards,7.73,23.19,-24.47,2.55,5.1,-52.91,5.8,17.4,16.02,0.79,3.16,-60.87,0.92,0.92,40.03,0.53,-1.59,-19.21,0.0,0.0,-100.0,0.0,0.0,-100.0,10.28,-34.31,6.86,-29.56,3.25,-33.46,1.42,150.44,4.38,-1.15,0.03,-95.38,0.25,-83.13,85.17,7.02,3.9,25.12,185.44,-29.9,82.31,8.31,3.73,163.05,0.06,-93.94,0.0,-100.0,0.0,-100.0,48.16,-0.79,-25.26,48.18
Harry Himmelberg,12.48,37.44,21.95,6.76,13.52,24.84,3.53,10.59,-29.39,2.38,9.52,17.88,0.12,0.12,-81.74,1.01,-3.03,53.96,0.04,0.24,-70.8,0.0,0.0,-100.0,19.24,22.95,8.7,-10.67,5.44,11.38,0.53,-6.53,3.0,-32.3,0.5,-22.96,0.72,-51.42,85.27,7.14,5.33,71.0,365.2,38.06,81.15,6.79,1.16,-18.19,2.67,169.7,4.37,286.04,4.35,334.57,68.36,-13.3,6.09,68.4
Harry Sheezel,13.85,41.55,35.33,14.21,28.42,162.42,4.94,14.82,-1.18,3.8,15.2,88.21,0.55,0.55,-16.29,0.82,-2.46,25.0,0.8,4.8,483.94,0.09,0.09,-29.69,28.06,79.31,17.0,74.56,10.54,115.81,0.28,-50.62,4.67,5.39,4.03,520.96,3.86,160.46,73.17,-8.06,2.16,-30.7,371.61,40.48,65.8,-13.41,0.34,-76.02,1.58,59.6,0.67,-40.81,0.64,-36.06,102.94,6.62,59.75,102.97
Heath Chapman,9.0,27.0,-12.06,6.67,13.34,23.18,4.5,13.5,-9.98,1.83,7.32,-9.36,0.33,0.33,-49.77,0.5,-1.5,-23.78,0.0,0.0,-100.0,0.0,0.0,-100.0,15.67,0.13,10.83,11.2,4.83,-1.11,0.17,-70.02,4.33,-2.28,0.33,-49.15,1.0,-32.52,75.93,-4.59,4.0,28.33,271.83,2.76,62.58,-17.65,0.67,-52.75,0.5,-49.49,0.0,-100.0,0.0,-100.0,60.0,-0.0,-6.89,59.99
Hugh Greenwood,5.0,15.0,-51.14,7.0,14.0,29.27,1.0,3.0,-80.0,7.0,28.0,246.71,0.0,0.0,-100.0,1.0,-3.0,52.44,1.0,6.0,629.93,1.0,1.0,681.25,12.0,-23.32,4.0,-58.93,9.0,84.28,1.0,76.37,0.0,-100.0,4.0,516.33,0.0,-100.0,75.0,-5.76,0.0,-100.0,67.0,-74.67,40.0,-47.36,0.0,-100.0,2.0,102.02,0.0,-100.0,0.0,-100.0,68.0,-0.0,5.53,64.0
Isaac Quaynor,8.89,26.67,-13.13,5.6,11.2,3.42,3.46,10.38,-30.79,1.94,7.76,-3.91,0.85,0.85,29.38,0.83,-2.49,26.52,0.03,0.18,-78.1,0.03,0.03,-76.56,14.49,-7.41,9.46,-2.86,5.55,13.64,0.2,-64.73,3.25,-26.65,0.23,-64.56,2.23,50.47,77.85,-2.18,3.28,5.23,280.4,6.0,73.59,-3.16,1.06,-25.25,1.46,47.47,0.34,-69.96,0.2,-80.02,54.57,-0.33,-15.31,54.58
Jack Buckley,8.94,26.82,-12.64,5.2,10.4,-3.97,5.83,17.49,16.62,2.11,8.44,4.51,0.83,0.83,26.33,0.84,-2.52,28.05,0.04,0.24,-70.8,0.0,0.0,-100.0,14.14,-9.64,9.11,-6.46,5.0,2.38,0.94,65.78,4.89,10.36,0.09,-86.13,0.79,-46.69,83.38,4.77,2.96,-5.04,236.91,-10.44,80.26,5.61,2.4,69.25,1.1,11.11,0.04,-96.47,0.0,-100.0,61.73,1.53,-4.2,61.7
Jack Hayes,5.0,15.0,-51.14,11.0,22.0,103.14,5.0,15.0,0.02,2.0,8.0,-0.94,2.0,2.0,204.41,1.0,-3.0,52.44,1.0,6.0,629.93,0.0,0.0,-100.0,16.0,2.24,5.0,-48.66,11.0,125.23,1.0,76.37,4.0,-9.73,3.0,362.25,0.0,-100.0,81.3,2.15,1.0,-67.92,103.0,-61.06,80.0,5.27,2.0,41.04,1.0,1.01,0.0,-100.0,0.0,-100.0,70.0,-0.0,8.63,65.0
