playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jackson Nelson,7.25,21.75,-28.61,6.5,13.0,-23.27,3.75,11.25,2.57,2.75,11.0,-21.52,0.75,0.75,-18.12,0.75,-2.25,-11.87,0.25,1.5,-43.31,0.0,0.0,-100.0,13.75,-26.18,9.75,-13.48,4.25,-42.33,0.0,-100.0,3.75,9.39,2.25,-20.86,0.5,-83.47,0.0,-100.0,74.82,5.86,0.75,-48.84,0.25,-39.61,0.0,-100.0,120.0,-58.18,3.25,-37.86,0.5,-56.33,5.0,-46.94,57.0,-0.0,-23.21,57.0
Jacob Hopper,10.78,32.34,6.14,13.09,26.18,54.53,3.76,11.28,2.84,3.29,13.16,-6.11,1.21,1.21,32.1,1.01,-3.03,18.68,0.31,1.86,-29.71,0.21,0.21,-42.93,23.87,28.15,14.13,25.39,10.01,35.82,0.08,-64.91,3.68,7.35,3.58,25.92,3.37,11.4,0.2,-48.19,63.15,-10.65,1.24,-15.42,0.2,-51.69,0.35,-32.17,297.43,3.64,7.44,42.26,1.02,-10.92,18.23,93.46,83.21,6.41,12.09,83.21
Jacob Koschitzke,6.0,18.0,-40.92,1.0,2.0,-88.2,2.0,6.0,-45.3,3.0,12.0,-14.38,1.0,1.0,9.17,0.0,-0.0,-100.0,1.0,6.0,126.76,0.0,0.0,-100.0,7.0,-62.42,3.0,-73.38,4.0,-45.73,0.0,-100.0,2.0,-41.66,3.0,5.52,1.0,-66.94,0.0,-100.0,85.7,21.25,0.0,-100.0,0.0,-100.0,2.0,287.6,185.0,-35.53,2.0,-61.76,1.0,-12.66,6.0,-36.33,50.0,-0.0,-32.64,45.0
Jacob Wehr,6.0,18.0,-40.92,5.0,10.0,-40.98,2.0,6.0,-45.3,3.0,12.0,-14.38,3.0,3.0,227.51,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,11.0,-40.95,8.0,-29.01,4.0,-45.73,0.0,-100.0,2.0,-41.66,3.0,5.52,5.0,65.29,0.0,-100.0,72.7,2.86,0.0,-100.0,0.0,-100.0,0.0,-100.0,181.0,-36.93,2.0,-61.76,0.0,-100.0,0.0,-100.0,49.0,-0.0,-33.99,49.0
Jade Gresham,12.71,38.13,25.15,11.86,23.72,40.01,3.43,10.29,-6.18,3.29,13.16,-6.11,1.14,1.14,24.45,1.43,-4.29,68.04,0.86,5.16,95.01,1.14,1.14,209.78,24.57,31.91,15.71,39.41,9.57,29.85,0.29,27.19,3.14,-8.4,4.0,40.7,5.14,69.92,0.57,47.67,67.14,-5.01,1.14,-22.24,0.43,3.86,0.71,37.6,413.0,43.92,6.57,25.62,1.57,37.12,17.0,80.41,88.43,-0.0,19.13,88.45
Jaeger O'Meara,11.27,33.81,10.97,13.79,27.58,62.79,4.37,13.11,19.53,6.08,24.32,73.52,1.76,1.76,92.14,1.06,-3.18,24.56,0.06,0.36,-86.39,0.05,0.05,-86.41,25.06,34.54,13.22,17.31,11.44,55.22,0.06,-73.68,4.3,25.44,4.97,74.82,3.14,3.8,0.08,-79.27,76.79,8.65,0.6,-59.07,0.52,25.6,0.08,-84.5,262.56,-8.51,6.75,29.06,1.49,30.13,22.06,134.11,97.81,11.99,31.76,97.81
Jai Culley,4.14,12.42,-59.24,10.57,21.14,24.78,4.86,14.58,32.93,4.43,17.72,26.43,0.14,0.14,-84.72,3.0,-9.0,252.53,0.14,0.84,-68.25,0.86,0.86,133.7,14.71,-21.03,9.0,-20.13,6.29,-14.65,1.71,650.0,3.14,-8.4,2.14,-24.73,2.14,-29.26,1.86,381.87,64.89,-8.19,0.14,-90.45,0.14,-66.18,0.0,-100.0,142.14,-50.47,3.57,-31.74,1.0,-12.66,25.29,168.39,58.71,-16.72,-20.91,58.7
Jai Newcombe,10.81,32.43,6.44,14.05,28.1,65.86,3.67,11.01,0.38,4.47,17.88,27.57,1.3,1.3,41.92,1.72,-5.16,102.12,0.41,2.46,-7.03,0.16,0.16,-56.52,24.86,33.46,13.61,20.77,11.6,57.39,0.4,75.44,3.27,-4.61,6.14,115.97,4.12,36.2,0.18,-53.37,75.44,6.74,1.47,0.27,0.66,59.42,0.32,-37.98,341.17,18.89,7.58,44.93,1.58,37.99,19.88,110.97,88.19,-0.88,18.8,88.18
Jaidyn Stephenson,10.0,30.0,-1.54,7.0,14.0,-17.37,3.0,9.0,-17.94,4.0,16.0,14.16,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,2.0,2.0,443.48,17.0,-8.73,10.0,-11.26,5.0,-32.16,0.0,-100.0,3.0,-12.49,2.0,-29.65,2.0,-33.88,1.0,159.07,52.9,-25.15,0.0,-100.0,0.0,-100.0,0.0,-100.0,182.0,-36.58,5.0,-4.4,0.0,-100.0,11.0,16.74,71.0,-0.0,-4.35,71.0
Jake Kelly,11.0,33.0,8.31,5.0,10.0,-40.98,4.0,12.0,9.41,3.0,12.0,-14.38,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,16.0,-14.1,15.0,33.11,2.0,-72.86,0.0,-100.0,4.0,16.69,0.0,-100.0,1.0,-66.94,0.0,-100.0,68.8,-2.66,4.0,172.85,1.0,141.55,0.0,-100.0,247.0,-13.93,1.0,-80.88,1.0,-12.66,0.0,-100.0,67.0,-0.0,-9.74,67.0
