playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Lloyd Meek,5.04,15.12,-23.65,8.42,16.84,31.64,1.98,5.94,-28.7,3.66,14.64,15.2,1.43,1.43,8.91,1.7,-5.1,26.39,0.31,1.86,-36.99,0.27,0.27,-18.67,13.45,3.49,5.68,-3.24,8.42,18.13,0.54,-20.0,1.44,-31.49,3.09,2.22,36.85,36.85,86.58,11.18,103.01,2.06,5.37,0.56,-11.81,0.27,-50.0,0.27,94.24,87.85,9.95,18.8,87.85
Luke Jackson,5.87,17.61,-11.07,14.12,28.24,120.76,2.53,7.59,-8.89,2.99,11.96,-5.89,1.1,1.1,-16.22,1.18,-3.54,-12.27,0.72,4.32,46.34,0.47,0.47,41.57,19.98,53.73,9.57,63.03,10.89,52.78,0.98,45.19,1.56,-25.78,4.5,48.86,24.81,24.81,25.62,7.13,29.47,2.89,47.83,0.87,37.01,0.68,25.93,0.13,-6.47,92.53,-3.98,25.13,92.56
Luke Strnadica,5.0,15.0,-24.25,5.0,10.0,-21.83,0.0,0.0,-100.0,2.0,8.0,-37.05,2.0,2.0,52.32,0.0,-0.0,-100.0,1.0,6.0,103.25,0.0,0.0,-100.0,10.0,-23.06,5.0,-14.82,6.0,-15.82,0.0,-100.0,0.0,-100.0,4.0,32.32,10.0,10.0,-49.37,4.0,-27.37,1.0,-48.85,0.0,-100.0,0.0,-100.0,0.0,-100.0,51.0,-0.0,-31.03,51.0
Mac Andrew,10.0,30.0,51.49,3.0,6.0,-53.1,5.0,15.0,80.05,2.0,8.0,-37.05,1.0,1.0,-23.84,1.0,-3.0,-25.65,4.0,24.0,713.01,0.0,0.0,-100.0,13.0,0.02,6.0,2.21,5.0,-29.85,1.0,48.15,4.0,90.29,3.0,-0.76,0.0,0.0,-100.0,0.0,-100.0,1.0,-48.85,0.0,-100.0,3.0,455.56,1.0,619.42,81.0,-0.0,9.54,81.0
Marc Pittonet,6.81,20.43,3.17,6.94,13.88,8.51,1.45,4.35,-47.79,1.8,7.2,-43.34,1.5,1.5,14.24,1.75,-5.25,30.11,0.14,0.84,-71.54,0.23,0.23,-30.72,13.75,5.79,3.75,-36.12,9.86,38.33,0.5,-25.93,0.95,-54.8,5.51,82.27,27.32,27.32,38.33,9.47,71.96,1.85,-5.37,0.42,-33.86,0.01,-98.15,0.0,-100.0,70.45,7.3,-4.73,70.5
Mark Blicavs,7.64,22.92,15.74,6.73,13.46,5.22,2.92,8.76,5.15,4.9,19.6,54.23,1.02,1.02,-22.32,0.9,-2.7,-33.09,0.28,1.68,-43.09,0.42,0.42,26.51,14.37,10.56,6.99,19.08,7.26,1.85,0.58,-14.07,2.33,10.85,2.86,-5.39,14.36,14.36,-27.29,4.52,-17.92,1.91,-2.3,0.57,-10.24,0.85,57.41,0.43,209.35,79.47,-15.85,7.47,79.52
Mason Cox,6.15,18.45,-6.83,2.97,5.94,-53.56,2.99,8.97,7.67,2.36,9.44,-25.72,2.28,2.28,73.65,0.97,-2.91,-27.88,0.56,3.36,13.82,1.08,1.08,225.3,9.12,-29.83,3.2,-45.49,6.74,-5.44,1.27,88.15,1.72,-18.17,1.85,-38.8,19.99,19.99,1.22,2.01,-63.5,0.99,-49.36,0.57,-10.24,1.67,209.26,0.07,-49.64,66.59,-1.23,-9.95,66.6
Matt Flynn,2.82,8.46,-57.28,4.97,9.94,-22.3,1.41,4.23,-49.23,2.74,10.96,-13.76,0.79,0.79,-39.83,1.33,-3.99,-1.12,0.3,1.8,-39.02,0.03,0.03,-90.96,7.78,-40.14,3.47,-40.89,4.29,-39.81,0.62,-8.15,0.8,-61.94,1.7,-43.76,23.01,23.01,16.51,5.19,-5.76,1.41,-27.88,0.68,7.09,0.35,-35.19,0.28,101.44,55.23,-15.95,-25.31,55.23
Matt Rowell,5.0,15.0,-24.25,14.0,28.0,118.89,1.0,3.0,-63.99,7.0,28.0,120.33,1.0,1.0,-23.84,2.0,-6.0,48.7,1.0,6.0,103.25,0.0,0.0,-100.0,19.0,46.19,8.0,36.29,11.0,54.32,0.0,-100.0,1.0,-52.43,2.0,-33.84,0.0,0.0,-100.0,0.0,-100.0,3.0,53.45,0.0,-100.0,0.0,-100.0,0.0,-100.0,75.0,-0.0,1.43,75.0
Max Gawn,11.17,33.51,69.22,7.65,15.3,19.61,5.18,15.54,86.53,2.49,9.96,-21.62,2.16,2.16,64.51,1.12,-3.36,-16.73,0.52,3.12,5.69,0.46,0.46,38.55,18.82,44.8,7.17,22.15,11.86,66.39,2.05,203.7,3.13,48.91,4.89,61.76,32.72,32.72,65.67,9.26,68.15,3.87,97.95,1.89,197.64,0.69,27.78,0.5,259.71,109.45,6.2,48.01,109.41
