round.roundNumber,team.name,opponent,venue.name,PF_AVG,PF,PF_diff,Opp_PAPG,PA_diff,Venue_AVG,PPV_diff
2,Hawthorn,Melbourne,MCG,1525.3,1572.0,3.06,1562.04,0.64,1540.73,2.03
3,Hawthorn,Geelong Cats,MCG,1525.3,1624.0,6.47,1585.17,2.45,1540.73,5.4
4,Hawthorn,Collingwood,Adelaide Oval,1525.3,1419.0,-6.97,1549.78,-8.44,1511.26,-6.1
5,Hawthorn,Gold Coast SUNS,People First Stadium,1525.3,1102.0,-27.75,1531.39,-28.04,1478.28,-25.45
6,Hawthorn,North Melbourne,Marvel Stadium,1525.3,1674.0,9.75,1545.13,8.34,1544.71,8.37
7,Hawthorn,Sydney Swans,MCG,1525.3,1290.0,-15.43,1486.57,-13.22,1540.73,-16.27
8,Hawthorn,Western Bulldogs,Marvel Stadium,1525.3,1647.0,7.98,1507.74,9.24,1544.71,6.62
9,Hawthorn,St Kilda,University of Tasmania Stadium,1525.3,1525.0,-0.02,1560.61,-2.28,1475.62,3.35
10,Hawthorn,Port Adelaide,Adelaide Oval,1525.3,1428.0,-6.38,1431.43,-0.24,1511.26,-5.51
11,Hawthorn,Brisbane Lions,Marvel Stadium,1525.3,1502.0,-1.53,1464.22,2.58,1544.71,-2.76
12,Hawthorn,Adelaide Crows,MCG,1525.3,1505.0,-1.33,1507.87,-0.19,1540.73,-2.32
13,Hawthorn,GWS GIANTS,University of Tasmania Stadium,1525.3,1450.0,-4.94,1448.04,0.14,1475.62,-1.74
14,Hawthorn,Richmond,MCG,1525.3,1569.0,2.87,1652.3,-5.04,1540.73,1.83
16,Hawthorn,West Coast Eagles,Optus Stadium,1525.3,1808.0,18.53,1611.65,12.18,1505.23,20.11
17,Hawthorn,Geelong Cats,GMHBA Stadium,1525.3,1408.0,-7.69,1585.17,-11.18,1545.83,-8.92
18,Hawthorn,Fremantle,University of Tasmania Stadium,1525.3,1356.0,-11.1,1503.78,-9.83,1475.62,-8.11
19,Hawthorn,Collingwood,MCG,1525.3,1664.0,9.09,1549.78,7.37,1540.73,8.0
20,Hawthorn,Adelaide Crows,Adelaide Oval,1525.3,1552.0,1.75,1507.87,2.93,1511.26,2.7
21,Hawthorn,GWS GIANTS,Manuka Oval,1525.3,1428.0,-6.38,1448.04,-1.38,1524.17,-6.31
22,Hawthorn,Carlton,MCG,1525.3,1857.0,21.75,1500.87,23.73,1540.73,20.53
23,Hawthorn,Richmond,MCG,1525.3,1715.0,12.44,1652.3,3.79,1540.73,11.31
24,Hawthorn,North Melbourne,University of Tasmania Stadium,1525.3,1575.0,3.26,1545.13,1.93,1475.62,6.73
0,Melbourne,Sydney Swans,SCG,1496.65,1421.0,-5.05,1486.57,-4.41,1504.32,-5.54
1,Melbourne,Western Bulldogs,MCG,1496.65,1764.0,17.86,1507.74,17.0,1540.73,14.49
2,Melbourne,Hawthorn,MCG,1496.65,1624.0,8.51,1516.96,7.06,1540.73,5.4
3,Melbourne,Port Adelaide,Adelaide Oval,1496.65,1358.0,-9.26,1431.43,-5.13,1511.26,-10.14
4,Melbourne,Adelaide Crows,Adelaide Oval,1496.65,1407.0,-5.99,1507.87,-6.69,1511.26,-6.9
5,Melbourne,Brisbane Lions,MCG,1496.65,1354.0,-9.53,1464.22,-7.53,1540.73,-12.12
7,Melbourne,Richmond,MCG,1496.65,1694.0,13.19,1652.3,2.52,1540.73,9.95
8,Melbourne,Geelong Cats,MCG,1496.65,1574.0,5.17,1585.17,-0.7,1540.73,2.16
9,Melbourne,Carlton,MCG,1496.65,1605.0,7.24,1500.87,6.94,1540.73,4.17
10,Melbourne,West Coast Eagles,Optus Stadium,1496.65,1366.0,-8.73,1611.65,-15.24,1505.23,-9.25
