"compSeason.name","round.name","home.team.name","away.team.name","venue.name"
"2025 Toyota AFL Premiership","Round 7","Melbourne","Richmond","MCG"
"2025 Toyota AFL Premiership","Round 7","Collingwood","Essendon","MCG"
"2025 Toyota AFL Premiership","Round 7","Fremantle","Adelaide Crows","Optus Stadium"
"2025 Toyota AFL Premiership","Round 7","St Kilda","Brisbane Lions","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 7","Port Adelaide","North Melbourne","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 7","GWS GIANTS","Western Bulldogs","Manuka Oval"
"2025 Toyota AFL Premiership","Round 7","Gold Coast SUNS","Sydney Swans","People First Stadium"
"2025 Toyota AFL Premiership","Round 7","Carlton","Geelong Cats","MCG"
"2025 Toyota AFL Premiership","Round 7","Hawthorn","West Coast Eagles","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 8","Essendon","North Melbourne","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 8","St Kilda","Fremantle","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 8","Western Bulldogs","Port Adelaide","Mars Stadium"
"2025 Toyota AFL Premiership","Round 8","Adelaide Crows","Carlton","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 8","Collingwood","Geelong Cats","MCG"
"2025 Toyota AFL Premiership","Round 8","West Coast Eagles","Melbourne","Optus Stadium"
"2025 Toyota AFL Premiership","Round 8","Sydney Swans","GWS GIANTS","SCG"
"2025 Toyota AFL Premiership","Round 8","Hawthorn","Richmond","MCG"
"2025 Toyota AFL Premiership","Round 8","Brisbane Lions","Gold Coast SUNS","Gabba"
"2025 Toyota AFL Premiership","Round 9","Fremantle","Collingwood","Optus Stadium"
"2025 Toyota AFL Premiership","Round 9","St Kilda","Carlton","MCG"
"2025 Toyota AFL Premiership","Round 9","Melbourne","Hawthorn","MCG"
"2025 Toyota AFL Premiership","Round 9","Essendon","Sydney Swans","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 9","Gold Coast SUNS","Western Bulldogs","TIO Stadium"
"2025 Toyota AFL Premiership","Round 9","Port Adelaide","Adelaide Crows","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 9","Richmond","West Coast Eagles","MCG"
"2025 Toyota AFL Premiership","Round 9","Geelong Cats","GWS GIANTS","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 9","North Melbourne","Brisbane Lions","Ninja Stadium"
"2025 Toyota AFL Premiership","Round 10","Gold Coast SUNS","Hawthorn","TIO Stadium"
"2025 Toyota AFL Premiership","Round 10","Sydney Swans","Carlton","SCG"
"2025 Toyota AFL Premiership","Round 10","Collingwood","Adelaide Crows","MCG"
"2025 Toyota AFL Premiership","Round 10","Port Adelaide","Geelong Cats","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 10","GWS GIANTS","Fremantle","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 10","Western Bulldogs","Essendon","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 10","Richmond","North Melbourne","MCG"
"2025 Toyota AFL Premiership","Round 10","Brisbane Lions","Melbourne","Gabba"
"2025 Toyota AFL Premiership","Round 10","West Coast Eagles","St Kilda","Optus Stadium"
"2025 Toyota AFL Premiership","Round 11","Geelong Cats","Western Bulldogs","GMHBA Stadium"
"2025 Toyota AFL Premiership","Round 11","Essendon","Richmond","MCG"
"2025 Toyota AFL Premiership","Round 11","Carlton","GWS GIANTS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 11","Hawthorn","Brisbane Lions","MCG"
"2025 Toyota AFL Premiership","Round 11","North Melbourne","Collingwood","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 11","Fremantle","Port Adelaide","Optus Stadium"
"2025 Toyota AFL Premiership","Round 11","Adelaide Crows","West Coast Eagles","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 11","Melbourne","Sydney Swans","MCG"
"2025 Toyota AFL Premiership","Round 11","St Kilda","Gold Coast SUNS","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 12","Brisbane Lions","Essendon","Gabba"
"2025 Toyota AFL Premiership","Round 12","Collingwood","Hawthorn","MCG"
"2025 Toyota AFL Premiership","Round 12","Gold Coast SUNS","Fremantle","People First Stadium"
"2025 Toyota AFL Premiership","Round 12","GWS GIANTS","Richmond","ENGIE Stadium"
"2025 Toyota AFL Premiership","Round 12","Sydney Swans","Adelaide Crows","SCG"
"2025 Toyota AFL Premiership","Round 12","Melbourne","St Kilda","TIO Traeger Park"
"2025 Toyota AFL Premiership","Round 12","West Coast Eagles","Geelong Cats","Optus Stadium"
"2025 Toyota AFL Premiership","Round 13","Western Bulldogs","Hawthorn","Marvel Stadium"
"2025 Toyota AFL Premiership","Round 13","Adelaide Crows","Brisbane Lions","Adelaide Oval"
"2025 Toyota AFL Premiership","Round 13","Richmond","Sydney Swans","MCG"
