playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jack Newnes,10.0,30.0,-0.13,4.0,8.0,-27.48,7.0,21.0,49.38,1.0,4.0,-51.22,1.0,1.0,56.49,2.0,-6.0,194.55,0.0,0.0,-100.0,0.0,0.0,-100.0,14.0,-9.85,13.0,29.37,2.0,-57.65,0.0,-100.0,7.0,62.9,0.0,-100.0,2.0,20.7,100.0,30.93,0.0,-100.0,169.0,-37.35,100.0,39.8,1.0,-13.57,2.0,135.85,0.0,-100.0,0.0,-100.0,58.0,-0.0,-8.57,58.0
Jack Payne,7.87,23.61,-21.4,2.76,5.52,-49.96,5.34,16.02,13.96,1.16,4.64,-43.41,0.49,0.49,-23.32,0.5,-1.5,-26.36,0.0,0.0,-100.0,0.0,0.0,-100.0,10.63,-31.55,7.31,-27.26,3.34,-29.28,0.57,46.53,4.77,11.01,0.09,-88.49,0.91,-45.08,79.9,4.61,3.39,23.81,215.14,-20.24,82.1,14.77,1.97,70.27,1.14,34.43,0.23,-73.8,0.07,-90.97,48.77,-12.83,-23.12,48.78
Jack Scrimshaw,10.92,32.76,9.06,5.75,11.5,4.24,5.99,17.97,27.83,2.17,8.68,5.85,0.48,0.48,-24.88,0.95,-2.85,39.91,0.06,0.36,-64.29,0.03,0.03,-75.61,16.66,7.28,9.69,-3.57,5.17,9.46,0.94,141.65,5.05,17.52,0.47,-39.9,0.81,-51.12,82.62,8.17,3.39,23.81,271.15,0.52,78.86,10.24,2.38,105.7,1.73,104.01,2.69,206.38,2.28,194.19,68.91,-4.93,8.63,68.93
Jack Sinclair,19.89,59.67,98.64,8.38,16.76,51.92,5.5,16.5,17.37,2.93,11.72,42.93,0.25,0.25,-60.88,0.23,-0.69,-66.13,0.04,0.24,-76.19,0.18,0.18,46.34,28.27,82.05,15.83,57.53,8.4,77.85,0.2,-48.59,5.29,23.11,3.04,288.75,2.63,58.72,76.62,0.32,5.97,118.04,516.16,91.35,72.23,0.98,1.18,1.99,2.22,161.79,4.29,388.61,4.03,420.0,104.61,0.44,64.91,104.63
Jack Ziebell,18.82,56.46,87.96,4.82,9.64,-12.62,6.56,19.68,39.99,1.53,6.12,-25.37,1.18,1.18,84.66,0.68,-2.04,0.15,0.0,0.0,-100.0,0.06,0.06,-51.22,23.65,52.3,12.89,28.27,5.58,18.15,0.62,59.38,5.94,38.24,0.26,-66.75,0.94,-43.27,80.79,5.78,6.68,143.97,444.18,64.66,80.72,12.84,2.11,82.37,1.25,47.41,5.48,524.15,5.17,567.1,91.13,15.67,43.66,91.1
Jackson Archer,6.88,20.64,-31.29,5.05,10.1,-8.45,4.14,12.42,-11.65,2.69,10.76,31.22,1.77,1.77,177.0,0.85,-2.55,25.18,0.0,0.0,-100.0,0.0,0.0,-100.0,11.94,-23.11,7.61,-24.27,4.66,-1.33,0.54,38.82,3.62,-15.76,0.47,-39.9,0.3,-81.89,85.16,11.5,2.7,-1.39,111.25,-58.76,80.79,12.94,1.72,48.66,0.68,-19.81,0.0,-100.0,0.0,-100.0,53.16,11.14,-16.2,53.14
Jackson Nelson,8.5,25.5,-15.11,7.0,14.0,26.9,3.75,11.25,-19.97,1.75,7.0,-14.63,0.5,0.5,-21.75,0.25,-0.75,-63.18,0.0,0.0,-100.0,0.0,0.0,-100.0,15.5,-0.19,10.0,-0.49,6.0,27.04,0.0,-100.0,3.75,-12.73,2.0,155.75,0.75,-54.74,68.25,-10.64,1.75,-36.08,216.75,-19.65,60.52,-15.39,0.25,-78.39,0.75,-11.56,0.0,-100.0,0.0,-100.0,57.5,-0.0,-9.35,57.5
Jacob Blight,5.5,16.5,-45.07,6.5,13.0,17.84,3.5,10.5,-25.31,1.5,6.0,-26.83,0.5,0.5,-21.75,1.5,-4.5,120.91,0.0,0.0,-100.0,0.0,0.0,-100.0,12.0,-22.73,6.5,-35.32,5.0,5.86,1.0,157.07,2.5,-41.82,0.0,-100.0,0.0,-100.0,65.05,-14.83,3.5,27.83,119.0,-55.89,66.65,-6.82,1.5,29.65,0.5,-41.04,0.0,-100.0,0.0,-100.0,42.0,-0.0,-33.79,42.0
Jacob Koschitzke,3.0,9.0,-70.04,3.0,6.0,-45.61,1.0,3.0,-78.66,2.0,8.0,-2.44,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,6.0,-61.36,5.0,-50.24,1.0,-78.83,0.0,-100.0,1.0,-76.73,0.0,-100.0,3.0,81.05,50.0,-34.54,0.0,-100.0,121.0,-55.14,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,37.0,-0.0,-41.67,26.0
Jacob Wehr,7.0,21.0,-30.09,8.0,16.0,45.03,4.0,12.0,-14.64,2.0,8.0,-2.44,1.0,1.0,56.49,2.0,-6.0,194.55,0.0,0.0,-100.0,0.0,0.0,-100.0,15.0,-3.41,7.0,-30.34,9.0,90.56,0.0,-100.0,4.0,-6.91,2.0,155.75,2.0,20.7,93.3,22.16,2.0,-26.95,259.0,-3.99,85.7,19.81,0.0,-100.0,1.0,17.92,0.0,-100.0,0.0,-100.0,52.0,-0.0,-18.03,52.0
Jacob Weitering,13.18,39.54,31.63,2.81,5.62,-49.06,8.14,24.42,73.71,2.03,8.12,-0.98,1.08,1.08,69.01,0.27,-0.81,-60.24,0.0,0.0,-100.0,0.1,0.1,-18.7,15.99,2.97,10.53,4.79,5.36,13.49,1.73,344.73,6.41,49.17,0.25,-68.03,0.63,-61.98,77.41,1.35,4.03,47.19,253.85,-5.89,73.28,2.44,3.15,172.26,1.11,30.9,0.02,-97.72,0.01,-98.71,78.08,14.42,23.09,78.07
Jacob van Rooyen,3.0,9.0,-70.04,6.0,12.0,8.77,2.0,6.0,-57.32,0.0,0.0,-100.0,1.0,1.0,56.49,1.0,-3.0,47.28,1.0,6.0,495.24,1.0,1.0,713.01,9.0,-42.04,2.0,-80.1,6.0,27.04,1.0,157.07,1.0,-76.73,1.0,27.88,0.0,-100.0,77.8,1.86,0.0,-100.0,36.0,-86.65,66.7,-6.76,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,39.0,-0.0,-38.52,32.0
Jade Gresham,5.0,15.0,-50.06,10.0,20.0,81.29,1.0,3.0,-78.66,5.0,20.0,143.9,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,15.0,-3.41,10.0,-0.49,4.0,-15.31,0.0,-100.0,1.0,-76.73,1.0,27.88,0.0,-100.0,66.7,-12.67,0.0,-100.0,30.0,-88.88,60.0,-16.12,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,58.0,-0.0,-8.57,58.0
Jaeger O'Meara,10.0,30.0,-0.13,8.0,16.0,45.03,1.0,3.0,-78.66,10.0,40.0,387.8,1.0,1.0,56.49,2.0,-6.0,194.55,0.0,0.0,-100.0,0.0,0.0,-100.0,18.0,15.91,7.0,-30.34,10.0,111.73,1.0,157.07,0.0,-100.0,7.0,795.14,4.0,141.4,55.6,-27.2,0.0,-100.0,281.0,4.17,20.0,-72.04,0.0,-100.0,1.0,17.92,0.0,-100.0,0.0,-100.0,84.0,-0.0,32.42,84.0
Jaidyn Stephenson,10.0,30.0,-0.13,2.0,4.0,-63.74,2.0,6.0,-57.32,0.0,0.0,-100.0,0.0,0.0,-100.0,2.0,-6.0,194.55,0.0,0.0,-100.0,0.0,0.0,-100.0,12.0,-22.73,10.0,-0.49,2.0,-57.65,0.0,-100.0,2.0,-53.46,1.0,27.88,1.0,-39.65,75.0,-1.8,4.0,46.09,261.0,-3.24,70.0,-2.14,0.0,-100.0,1.0,17.92,2.0,127.79,2.0,158.06,34.0,-0.0,-46.4,34.0
Jake Bowey,11.56,34.68,15.45,5.0,10.0,-9.35,4.44,13.32,-5.25,1.21,4.84,-40.98,0.38,0.38,-40.53,0.33,-0.99,-51.4,0.0,0.0,-100.0,0.19,0.19,54.47,16.55,6.57,10.77,7.17,4.07,-13.83,0.11,-71.72,4.33,0.77,0.41,-47.57,1.24,-25.17,76.78,0.53,3.46,26.37,267.53,-0.82,71.61,0.11,1.02,-11.84,0.72,-15.09,1.81,106.15,1.72,121.94,62.4,-6.48,-1.63,62.42
Jake Kelly,8.52,25.56,-14.91,4.53,9.06,-17.88,5.53,16.59,18.01,0.48,1.92,-76.59,0.72,0.72,12.68,0.3,-0.9,-55.82,0.0,0.0,-100.0,0.0,0.0,-100.0,13.05,-15.96,10.05,0.01,3.0,-36.48,0.25,-35.73,5.28,22.88,0.25,-68.03,0.59,-64.39,83.84,9.77,2.43,-11.25,174.1,-35.46,76.15,6.46,0.38,-67.16,0.14,-83.49,0.23,-73.8,0.01,-98.71,52.94,-7.48,-16.54,52.95
Jake Kolodjashnij,8.43,25.29,-15.81,5.13,10.26,-7.0,5.15,15.45,9.9,1.98,7.92,-3.41,0.48,0.48,-24.88,0.63,-1.89,-7.22,0.04,0.24,-76.19,0.07,0.07,-43.09,13.55,-12.74,8.51,-15.31,4.51,-4.51,0.62,59.38,4.54,5.66,0.25,-68.03,0.82,-50.51,79.35,3.89,2.9,5.92,202.41,-24.96,80.45,12.47,1.62,40.02,0.65,-23.35,0.33,-62.41,0.25,-67.74,57.8,5.47,-8.88,57.82
Jake Lever,9.89,29.67,-1.23,4.2,8.4,-23.86,5.84,17.52,24.63,1.3,5.2,-36.59,0.95,0.95,48.67,1.7,-5.1,150.37,0.0,0.0,-100.0,0.0,0.0,-100.0,14.09,-9.27,9.81,-2.38,4.54,-3.87,0.27,-30.59,5.58,29.86,0.03,-96.16,1.3,-21.54,86.85,13.71,2.82,2.99,243.73,-9.65,87.48,22.29,1.99,72.0,2.01,137.03,0.14,-84.05,0.0,-100.0,56.65,-1.95,-10.69,56.64
Jake Lloyd,12.05,36.15,20.34,7.98,15.96,44.67,6.28,18.84,34.02,2.19,8.76,6.83,0.65,0.65,1.72,0.25,-0.75,-63.18,0.01,0.06,-94.05,0.0,0.0,-100.0,20.03,28.98,13.71,36.43,4.41,-6.63,0.0,-100.0,6.28,46.15,0.65,-16.88,1.56,-5.85,85.36,11.76,3.4,24.18,303.04,12.34,80.15,12.05,0.73,-36.91,1.05,23.82,1.88,114.12,1.74,124.52,79.7,-6.79,25.64,79.67
Jake Riccardi,7.0,21.0,-30.09,2.0,4.0,-63.74,4.0,12.0,-14.64,0.0,0.0,-100.0,1.0,1.0,56.49,0.0,-0.0,-100.0,1.0,6.0,495.24,0.0,0.0,-100.0,9.0,-42.04,4.0,-60.2,6.0,27.04,1.0,157.07,3.0,-30.18,0.0,-100.0,2.0,20.7,66.7,-12.67,1.0,-63.48,226.0,-16.22,71.4,-0.18,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,44.0,-0.0,-30.64,44.0
Jake Stein,8.0,24.0,-20.1,2.0,4.0,-63.74,5.0,15.0,6.7,3.0,12.0,46.34,1.0,1.0,56.49,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,10.0,-35.6,5.0,-50.24,4.0,-15.31,0.0,-100.0,5.0,16.36,0.0,-100.0,0.0,-100.0,100.0,30.93,3.0,9.57,136.0,-49.58,100.0,39.8,0.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,56.0,-0.0,-11.72,56.0
Jamaine Jones,8.96,26.88,-10.52,4.94,9.88,-10.44,4.03,12.09,-14.0,1.85,7.4,-9.76,0.16,0.16,-74.96,1.48,-4.44,117.97,0.0,0.0,-100.0,0.03,0.03,-75.61,13.92,-10.36,10.6,5.48,4.19,-11.29,0.0,-100.0,4.03,-6.21,0.25,-68.03,1.25,-24.56,74.3,-2.72,2.23,-18.55,191.82,-28.89,63.74,-10.89,0.36,-68.89,0.18,-78.77,0.66,-24.83,0.32,-58.71,52.04,-16.5,-17.96,52.0
James Aish,13.03,39.09,30.13,8.15,16.3,47.75,5.76,17.28,22.92,2.15,8.6,4.88,0.6,0.6,-6.1,0.36,-1.08,-46.98,0.04,0.24,-76.19,0.24,0.24,95.12,21.18,36.39,15.94,58.62,4.32,-8.53,0.24,-38.3,5.52,28.46,1.22,56.01,2.93,76.83,75.61,-1.01,3.36,22.72,358.87,33.04,67.46,-5.69,1.21,4.58,1.27,49.76,1.06,20.73,0.91,17.42,81.26,3.34,28.1,81.27
James Blanck,5.5,16.5,-45.07,5.5,11.0,-0.29,2.5,7.5,-46.65,0.5,2.0,-75.61,1.0,1.0,56.49,1.0,-3.0,47.28,0.0,0.0,-100.0,0.0,0.0,-100.0,11.0,-29.16,7.0,-30.34,4.5,-4.72,0.5,28.53,2.0,-53.46,0.5,-36.06,0.5,-69.82,90.85,18.95,3.0,9.57,184.0,-31.79,90.0,25.82,1.5,29.65,0.0,-100.0,0.0,-100.0,0.0,-100.0,35.0,-0.0,-44.82,35.0
James Borlase,8.67,26.01,-13.41,4.33,8.66,-21.5,8.0,24.0,70.72,2.33,9.32,13.66,0.67,0.67,4.85,1.0,-3.0,47.28,0.33,1.98,96.43,0.33,0.33,168.29,13.0,-16.29,8.0,-20.39,4.67,-1.12,2.0,414.14,6.0,39.63,0.33,-57.8,0.33,-80.08,87.37,14.39,1.33,-51.42,140.0,-48.1,84.27,17.81,2.33,101.38,0.0,-100.0,0.33,-62.41,0.33,-57.42,69.33,-0.0,9.29,67.97
